#PSRNAME ENTY_LIMIT TEMPONEST_LIMIT(best_models)
J0030+0451 7.7662883019e-14 7.5446348383e-14
J0034-0534 1.33893115981e-13 1.34027321662e-13
J0101-6422 1.89409903537e-13 1.86301383887e-13
J0102+4839 3.8900642972e-13 3.92881214547e-13
J0340+4130 2.65421466369e-13 2.61329233496e-13
J0533+6759 2.21388371637e-13 2.16557841567e-13
J0613-0200 2.15858336679e-13 2.25679776959e-13
J0614-3329 4.19538795537e-14 4.15375830557e-14
J0740+6620 1.66246995816e-13 1.57649449483e-13
J1124-3653 1.55779191062e-13 1.58390587182e-13
J1231-1411 2.29606338822e-14 2.19446584476e-14
J1514-4946 3.85354618481e-13 3.88949833037e-13
J1536-4948 1.16938297717e-13 1.22961625412e-13
J1614-2230 9.23186720217e-14 9.07746004037e-14
J1625-0021 3.07367113236e-13 3.06974673923e-13
J1630+3734 7.26872587195e-14 7.28348493252e-14
J1810+1744 1.49450069773e-13 1.43116480323e-13
J1816+4510 3.56111949025e-13 3.49141162348e-13
J1858-2216 3.04592054888e-13 3.15110408203e-13
J1902-5105 1.1376647076e-13 1.14961909463e-13
J1939+2134 1.30388852875e-13 1.28588881965e-13
J1959+2048 8.11959294099e-14 8.24584461808e-14
J2017+0603 1.66009661662e-13 1.66308532377e-13
J2034+3632 2.22079727848e-13 2.16240621464e-13
J2043+1711 1.37964238184e-13 1.33756430394e-13
J2214+3000 3.04370100656e-13 2.96749269631e-13
J2241-5236 1.36614357696e-13 1.37972029999e-13
J2256-1024 1.32308581056e-13 1.29790959038e-13
J2302+4442 1.16727973136e-13 1.17416401551e-13
